Index,Team,G,Date,Site,Opponent,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,oFG,oFGA,oFG%,o3P,o3PA,o3P%,oFT,oFTA,oFT%,oORB,oTRB,oAST,oSTL,oBLK,oTOV,oPF
59,Akron,6,2021-01-09,@,Eastern Michigan,L,59.0,71.0,21.0,50.0,0.42,7.0,28.0,0.25,10.0,13.0,0.769,4.0,30.0,13.0,4.0,1.0,16.0,22.0,26.0,55.0,0.473,6.0,23.0,0.261,13.0,21.0,0.619,7.0,28.0,10.0,6.0,5.0,8.0,15.0
60,Akron,7,2021-01-12,@,Northern Illinois,L,65.0,67.0,25.0,60.0,0.417,9.0,29.0,0.31,6.0,13.0,0.462,5.0,25.0,16.0,3.0,0.0,11.0,15.0,25.0,54.0,0.463,7.0,14.0,0.5,10.0,14.0,0.714,10.0,41.0,18.0,7.0,3.0,14.0,17.0
61,Akron,8,2021-01-16,,Toledo,W (1 OT),95.0,94.0,34.0,67.0,0.507,14.0,40.0,0.35,13.0,15.0,0.867,11.0,35.0,12.0,4.0,4.0,12.0,24.0,31.0,70.0,0.443,12.0,28.0,0.429,20.0,27.0,0.741,10.0,29.0,17.0,7.0,2.0,5.0,15.0
62,Akron,9,2021-01-19,@,Bowling Green State,W,69.0,57.0,22.0,59.0,0.373,8.0,24.0,0.333,17.0,19.0,0.895,10.0,44.0,12.0,5.0,7.0,16.0,14.0,23.0,69.0,0.333,8.0,28.0,0.286,3.0,5.0,0.6,11.0,35.0,13.0,6.0,3.0,12.0,18.0
63,Akron,10,2021-01-21,,Central Michigan,W,81.0,67.0,29.0,59.0,0.492,12.0,29.0,0.414,11.0,13.0,0.846,7.0,31.0,18.0,5.0,5.0,12.0,21.0,23.0,53.0,0.434,1.0,6.0,0.167,20.0,25.0,0.8,9.0,27.0,4.0,5.0,5.0,13.0,17.0
64,Akron,11,2021-01-23,@,Western Michigan,W,79.0,68.0,23.0,49.0,0.469,10.0,30.0,0.333,23.0,31.0,0.742,5.0,28.0,10.0,7.0,0.0,10.0,15.0,27.0,56.0,0.482,5.0,16.0,0.313,9.0,12.0,0.75,7.0,20.0,10.0,3.0,0.0,13.0,23.0
65,Akron,12,2021-01-26,,Eastern Michigan,W,86.0,65.0,33.0,69.0,0.478,10.0,29.0,0.345,10.0,13.0,0.769,9.0,46.0,22.0,3.0,1.0,11.0,19.0,22.0,60.0,0.367,9.0,30.0,0.3,12.0,17.0,0.706,3.0,28.0,8.0,6.0,1.0,14.0,17.0
66,Akron,13,2021-01-30,,Ball State,W,74.0,42.0,28.0,57.0,0.491,8.0,25.0,0.32,10.0,19.0,0.526,8.0,37.0,10.0,9.0,2.0,11.0,13.0,17.0,50.0,0.34,4.0,22.0,0.182,4.0,7.0,0.571,2.0,26.0,8.0,4.0,3.0,18.0,17.0
67,Akron,14,2021-02-02,@,Toledo,L,76.0,91.0,27.0,63.0,0.429,8.0,25.0,0.32,14.0,23.0,0.609,10.0,30.0,11.0,4.0,3.0,9.0,23.0,31.0,62.0,0.5,13.0,29.0,0.448,16.0,18.0,0.889,11.0,39.0,16.0,3.0,3.0,11.0,19.0
68,Akron,15,2021-02-05,@,Kent State,W,72.0,61.0,27.0,59.0,0.458,11.0,25.0,0.44,7.0,11.0,0.636,10.0,34.0,14.0,4.0,6.0,15.0,16.0,23.0,66.0,0.348,6.0,27.0,0.222,9.0,12.0,0.75,13.0,32.0,10.0,6.0,2.0,17.0,16.0
